District,Disctrict Id
Ahmedabad,154
Ahmedabad Corporation,770
Amreli,174
Anand,179
Aravalli,158
Banaskantha,159
Bharuch,180
Bhavnagar,175
Bhavnagar Corporation,771
Botad,176
Chhotaudepur,181
Dahod,182
Dang,163
Devbhumi Dwaraka,168
Gandhinagar,153
Gandhinagar Corporation,772
Gir Somnath,177
Jamnagar,169
Jamnagar Corporation,773
Junagadh,178
Junagadh Corporation,774
Kheda,156
Kutch,170
Mahisagar,183
Mehsana,160
Morbi,171
Narmada,184
Navsari,164
Panchmahal,185
Patan,161
Porbandar,172
Rajkot,173
Rajkot Corporation,775
Sabarkantha,162
Surat,165
Surat Corporation,776
Surendranagar,157
Tapi,166
Vadodara,155
Vadodara Corporation,777
Valsad,167
