District,Disctrict Id
Agar,320
Alirajpur,357
Anuppur,334
Ashoknagar,354
Balaghat,338
Barwani,343
Betul,362
Bhind,351
Bhopal,312
Burhanpur,342
Chhatarpur,328
Chhindwara,337
Damoh,327
Datia,350
Dewas,324
Dhar,341
Dindori,336
Guna,348
Gwalior,313
Harda,361
Hoshangabad,360
Indore,314
Jabalpur,315
Jhabua,340
Katni,353
Khandwa,339
Khargone,344
Mandla,335
Mandsaur,319
Morena,347
Narsinghpur,352
Neemuch,323
Panna,326
Raisen,359
Rajgarh,358
Ratlam,322
Rewa,316
Sagar,317
Satna,333
Sehore,356
Seoni,349
Shahdol,332
Shajapur,321
Sheopur,346
Shivpuri,345
Sidhi,331
Singrauli,330
Tikamgarh,325
Ujjain,318
Umaria,329
Vidisha,355
