District,Disctrict Id
Aranthangi,779
Ariyalur,555
Attur,578
Chengalpet,565
Chennai,571
Cheyyar,778
Coimbatore,539
Cuddalore,547
Dharmapuri,566
Dindigul,556
Erode,563
Kallakurichi,552
Kanchipuram,557
Kanyakumari,544
Karur,559
Kovilpatti,780
Krishnagiri,562
Madurai,540
Nagapattinam,576
Namakkal,558
Nilgiris,577
Palani,564
Paramakudi,573
Perambalur,570
Poonamallee,575
Pudukkottai,546
Ramanathapuram,567
Ranipet,781
Salem,545
Sivaganga,561
Sivakasi,580
Tenkasi,551
Thanjavur,541
Theni,569
Thoothukudi (Tuticorin),554
Tiruchirappalli,560
Tirunelveli,548
Tirupattur,550
Tiruppur,568
Tiruvallur,572
Tiruvannamalai,553
Tiruvarur,574
Vellore,543
Viluppuram,542
Virudhunagar,549
