District,Disctrict Id
Adilabad,582
Bhadradri Kothagudem,583
Hyderabad,581
Jagtial,584
Jangaon,585
Jayashankar Bhupalpally,586
Jogulamba Gadwal,587
Kamareddy,588
Karimnagar,589
Khammam,590
Kumuram Bheem,591
Mahabubabad,592
Mahabubnagar,593
Mancherial,594
Medak,595
Medchal,596
Mulugu,612
Nagarkurnool,597
Nalgonda,598
Narayanpet,613
Nirmal,599
Nizamabad,600
Peddapalli,601
Rajanna Sircilla,602
Rangareddy,603
Sangareddy,604
Siddipet,605
Suryapet,606
Vikarabad,607
Wanaparthy,608
Warangal(Rural),609
Warangal(Urban),610
Yadadri Bhuvanagiri,611
