District,Disctrict Id
Agra,622
Aligarh,623
Ambedkar Nagar,625
Amethi,626
Amroha,627
Auraiya,628
Ayodhya,646
Azamgarh,629
Badaun,630
Baghpat,631
Bahraich,632
Balarampur,633
Ballia,634
Banda,635
Barabanki,636
Bareilly,637
Basti,638
Bhadohi,687
Bijnour,639
Bulandshahr,640
Chandauli,641
Chitrakoot,642
Deoria,643
Etah,644
Etawah,645
Farrukhabad,647
Fatehpur,648
Firozabad,649
Gautam Buddha Nagar,650
Ghaziabad,651
Ghazipur,652
Gonda,653
Gorakhpur,654
Hamirpur,655
Hapur,656
Hardoi,657
Hathras,658
Jalaun,659
Jaunpur,660
Jhansi,661
Kannauj,662
Kanpur Dehat,663
Kanpur Nagar,664
Kasganj,665
Kaushambi,666
Kushinagar,667
Lakhimpur Kheri,668
Lalitpur,669
Lucknow,670
Maharajganj,671
Mahoba,672
Mainpuri,673
Mathura,674
Mau,675
Meerut,676
Mirzapur,677
Moradabad,678
Muzaffarnagar,679
Pilibhit,680
Pratapgarh,682
Prayagraj,624
Raebareli,681
Rampur,683
Saharanpur,684
Sambhal,685
Sant Kabir Nagar,686
Shahjahanpur,688
Shamli,689
Shravasti,690
Siddharthnagar,691
Sitapur,692
Sonbhadra,693
Sultanpur,694
Unnao,695
Varanasi,696
